run_id,client_id,node,key,latency_ms,ok,status
20260202_192101,0,http://localhost:8003,key73111,38,true,404
20260202_192101,1,http://localhost:8003,key97424,39,true,404
20260202_192101,2,http://localhost:8001,key29732,16,true,404
20260202_192101,3,http://localhost:8002,key9520,39,true,404
20260202_192101,4,http://localhost:8003,key53300,38,true,404
20260202_192101,5,http://localhost:8001,key34212,36,true,404
20260202_192101,6,http://localhost:8001,key33470,36,true,404
20260202_192101,7,http://localhost:8002,key3031,38,true,404
20260202_192101,8,http://localhost:8002,key35448,40,true,404
20260202_192101,9,http://localhost:8002,key64669,40,true,404
20260202_192101,10,http://localhost:8002,key13087,35,true,404
20260202_192101,11,http://localhost:8001,key27596,9,true,404
20260202_192101,12,http://localhost:8002,key48249,36,true,404
20260202_192101,13,http://localhost:8002,key53778,37,true,404
20260202_192101,14,http://localhost:8003,key56091,35,true,404
20260202_192101,15,http://localhost:8003,key60339,39,true,404
20260202_192101,16,http://localhost:8003,key85600,35,true,404
20260202_192101,17,http://localhost:8002,key66552,7,true,404
20260202_192101,18,http://localhost:8001,key97993,37,true,404
20260202_192101,19,http://localhost:8003,key99124,33,true,404
20260202_192101,20,http://localhost:8002,key44739,35,true,404
20260202_192101,21,http://localhost:8003,key7427,38,true,404
20260202_192101,22,http://localhost:8003,key5713,37,true,404
20260202_192101,23,http://localhost:8001,key21224,37,true,404
20260202_192101,24,http://localhost:8002,key40740,35,true,404
20260202_192101,25,http://localhost:8002,key64486,20,true,404
20260202_192101,26,http://localhost:8001,key28573,22,true,404
20260202_192101,27,http://localhost:8003,key21084,11,true,404
20260202_192101,28,http://localhost:8002,key45009,37,true,404
20260202_192101,29,http://localhost:8003,key21580,5,true,404
20260202_192101,30,http://localhost:8002,key96747,38,true,404
20260202_192101,31,http://localhost:8001,key26324,37,true,404
20260202_192101,32,http://localhost:8002,key27852,35,true,404
20260202_192101,33,http://localhost:8003,key28238,37,true,404
20260202_192101,34,http://localhost:8003,key14033,40,true,404
20260202_192101,35,http://localhost:8002,key75796,39,true,404
20260202_192101,36,http://localhost:8002,key57456,10,true,404
20260202_192101,37,http://localhost:8001,key52050,36,true,404
20260202_192101,38,http://localhost:8002,key22138,39,true,404
20260202_192101,39,http://localhost:8002,key63532,37,true,404
20260202_192101,40,http://localhost:8003,key32591,39,true,404
20260202_192101,41,http://localhost:8001,key30856,39,true,404
20260202_192101,42,http://localhost:8001,key52655,35,true,404
20260202_192101,43,http://localhost:8003,key75290,39,true,404
20260202_192101,44,http://localhost:8002,key44536,39,true,404
20260202_192101,45,http://localhost:8003,key30906,16,true,404
20260202_192101,46,http://localhost:8003,key63092,35,true,404
20260202_192101,47,http://localhost:8003,key32191,38,true,404
