run_id,client_id,node,key,latency_ms,finished_at,ok,status
20260202_205217,70,http://localhost:8001,key60455,25,2026-02-02T20:52:17.152272+00:00,true,404
20260202_205217,71,http://localhost:8002,key21742,26,2026-02-02T20:52:17.153998+00:00,true,404
20260202_205217,72,http://localhost:8002,key22863,27,2026-02-02T20:52:17.152558+00:00,true,404
20260202_205217,73,http://localhost:8003,key77413,24,2026-02-02T20:52:17.152027+00:00,true,404
20260202_205217,74,http://localhost:8002,key48223,26,2026-02-02T20:52:17.153980+00:00,true,404
20260202_205217,75,http://localhost:8002,key91602,23,2026-02-02T20:52:17.151458+00:00,true,404
20260202_205217,76,http://localhost:8001,key89052,24,2026-02-02T20:52:17.151881+00:00,true,404
20260202_205217,77,http://localhost:8002,key97838,26,2026-02-02T20:52:17.154528+00:00,true,404
20260202_205217,78,http://localhost:8001,key26567,25,2026-02-02T20:52:17.153933+00:00,true,404
20260202_205217,79,http://localhost:8001,key88019,25,2026-02-02T20:52:17.152742+00:00,true,404
20260202_205217,80,http://localhost:8002,key51178,26,2026-02-02T20:52:17.153880+00:00,true,404
20260202_205217,81,http://localhost:8003,key29842,24,2026-02-02T20:52:17.151939+00:00,true,404
20260202_205217,82,http://localhost:8001,key11062,26,2026-02-02T20:52:17.154015+00:00,true,404
20260202_205217,83,http://localhost:8001,key70763,23,2026-02-02T20:52:17.151836+00:00,true,404
20260202_205217,84,http://localhost:8002,key31404,26,2026-02-02T20:52:17.154562+00:00,true,404
20260202_205217,85,http://localhost:8002,key3412,26,2026-02-02T20:52:17.154373+00:00,true,404
20260202_205217,86,http://localhost:8003,key118,5,2026-02-02T20:52:17.130294+00:00,true,404
20260202_205217,87,http://localhost:8002,key91060,23,2026-02-02T20:52:17.151920+00:00,true,404
20260202_205217,88,http://localhost:8002,key31622,27,2026-02-02T20:52:17.152512+00:00,true,404
20260202_205217,89,http://localhost:8002,key170,26,2026-02-02T20:52:17.154953+00:00,true,404
20260202_205217,90,http://localhost:8002,key76728,26,2026-02-02T20:52:17.153974+00:00,true,404
20260202_205217,91,http://localhost:8001,key5854,25,2026-02-02T20:52:17.152704+00:00,true,404
20260202_205217,92,http://localhost:8002,key31886,25,2026-02-02T20:52:17.152232+00:00,true,404
20260202_205217,93,http://localhost:8002,key61422,23,2026-02-02T20:52:17.150669+00:00,true,404
20260202_205217,94,http://localhost:8001,key59925,24,2026-02-02T20:52:17.152412+00:00,true,404
20260202_205217,95,http://localhost:8003,key75583,24,2026-02-02T20:52:17.151584+00:00,true,404
20260202_205217,96,http://localhost:8003,key58241,7,2026-02-02T20:52:17.133264+00:00,true,404
20260202_205217,97,http://localhost:8002,key61475,26,2026-02-02T20:52:17.154324+00:00,true,404
20260202_205217,98,http://localhost:8002,key54024,26,2026-02-02T20:52:17.152791+00:00,true,404
20260202_205217,99,http://localhost:8003,key63130,4,2026-02-02T20:52:17.129598+00:00,true,404
